region,ticker,display_ticker,company,exchange,currency,category,industry_model_class,stage,revenue_purity,role
US,AMZN,AMZN,Amazon,US,USD,1. L1 需求端 / AI 雲端 / Data Center,軟體 / IP / 平台型,成熟複利,低到中,AWS，最大雲端算力需求端之一
US,MSFT,MSFT,Microsoft,US,USD,1. L1 需求端 / AI 雲端 / Data Center,軟體 / IP / 平台型,成熟複利,低到中,Azure，OpenAI / enterprise AI 需求核心
US,GOOGL,GOOGL,Alphabet,US,USD,1. L1 需求端 / AI 雲端 / Data Center,軟體 / IP / 平台型,成熟複利,低到中,Google Cloud / TPU / AI infrastructure
US,META,META,Meta,US,USD,1. L1 需求端 / AI 雲端 / Data Center,軟體 / IP / 平台型,已獲利成長,低到中,大型自用 AI cluster 與 Llama 生態
US,ORCL,ORCL,Oracle,US,USD,1. L1 需求端 / AI 雲端 / Data Center,軟體 / IP / 平台型,成熟複利,低到中,OCI，GPU cloud 與 enterprise AI infrastructure
US,IBM,IBM,IBM,US,USD,1. L1 需求端 / AI 雲端 / Data Center,軟體 / IP / 平台型,成熟複利,低到中,Enterprise AI、hybrid cloud
US,CRWV,CRWV,CoreWeave,US,USD,1. L1 需求端 / AI 雲端 / Data Center,軟體 / IP / 平台型,轉機 / 虧轉盈,高,GPU cloud / AI compute pure play
US,NBIS,NBIS,Nebius,US,USD,1. L1 需求端 / AI 雲端 / Data Center,軟體 / IP / 平台型,已獲利成長,低到中,AI infrastructure / GPU cloud
US,APLD,APLD,Applied Digital,US,USD,1. L1 需求端 / AI 雲端 / Data Center,軟體 / IP / 平台型,轉機 / 虧轉盈,低到中,AI data center / HPC infrastructure
US,EQIX,EQIX,Equinix,US,USD,1. L1 需求端 / AI 雲端 / Data Center,軟體 / IP / 平台型,成熟複利,低到中,Colocation / interconnection data center
US,DLR,DLR,Digital Realty,US,USD,1. L1 需求端 / AI 雲端 / Data Center,軟體 / IP / 平台型,成熟複利,低到中,Hyperscale / colocation data center REIT
US,CORZ,CORZ,Core Scientific,US,USD,1. L1 需求端 / AI 雲端 / Data Center,軟體 / IP / 平台型,已獲利成長,低到中,AI/HPC hosting 與資料中心轉型
US,IREN,IREN,IREN,US,USD,1. L1 需求端 / AI 雲端 / Data Center,軟體 / IP / 平台型,轉機 / 虧轉盈,低到中,AI/HPC data center 與 power-linked compute
US,WULF,WULF,TeraWulf,US,USD,1. L1 需求端 / AI 雲端 / Data Center,軟體 / IP / 平台型,成熟複利,低到中,Power-linked compute / HPC hosting
