region,ticker,display_ticker,company,exchange,currency,category,supply_chain_category,role,industry_class,industry_model_class,stage,lifecycle_stage,revenue_purity,valuation_models,valuation_basis,selected_model,fallback_model,model_confidence,coverage_status,model_validation_signal_count,model_validation_convergence_rate,model_validation_hit_rate,model_validation_note,valuation_label,model_read,data_status,price,marketCap,trailingPE,forwardPE,evToEbitda,ps,pb,revenueGrowth,grossMargins,ebitdaMargins,profitMargins,six_month_return,benchmark_return,source_url
TW,3661,3661.TW,世芯-KY,TW,TWD,ASIC design / IP服務,ASIC design / IP服務,AI ASIC turnkey；ASIC design,ASIC design / IP服務,ASIC design / IP服務,已獲利成長 / 專案型高波動,已獲利成長 / 專案型高波動,高,"Forward PE, PEG/implied CAGR, EV/EBITDA","Forward PE, PEG/implied CAGR, EV/EBITDA",Forward PE,Peer Relative Z,medium,partial_history,20,0.4,0.3,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 60.2 / PB 7.81；隱含CAGR 37.6%，目前CAGR -13.8%。臺股頁保留 sealed-test 與 overfit 警示。,complete,4135.0,337000000000,60.2,,,,7.81,,,,,0.232489,0.40528,https://www.wantgoo.com/stock/3661
TW,3443,3443.TW,創意,TW,TWD,ASIC design / IP服務,ASIC design / IP服務,AI ASIC turnkey；ASIC design,ASIC design / IP服務,ASIC design / IP服務,已獲利成長 / 專案型高波動,已獲利成長 / 專案型高波動,高,"Forward PE, PEG/implied CAGR, EV/EBITDA","Forward PE, PEG/implied CAGR, EV/EBITDA",Forward PE,Peer Relative Z,medium,partial_history,20,0.4,0.3,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 151.4 / PB 44.21；隱含CAGR 66.1%，目前CAGR 9.2%。臺股頁保留 sealed-test 與 overfit 警示。,complete,4260.0,570840000000,151.4,,,,44.21,0.671267,,,,1.958333,0.40528,https://www.wantgoo.com/stock/3443
TW,2454,2454.TW,聯發科,TW,TWD,ASIC design / IP服務,ASIC design / IP服務,邊緣 AI / 客製晶片,ASIC design / IP服務,ASIC design / IP服務,已獲利成長 / 專案型高波動,已獲利成長 / 專案型高波動,高,"Forward PE, PEG/implied CAGR, EV/EBITDA","Forward PE, PEG/implied CAGR, EV/EBITDA",Forward PE,Peer Relative Z,medium,partial_history,20,0.4,0.3,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 39.7 / PB 10.45；隱含CAGR 26.3%，目前CAGR -0.9%。臺股頁保留 sealed-test 與 overfit 警示。,complete,2610.0,4186180000000.000488,39.7,,,,10.45,-0.036267,,,,0.992366,0.40528,https://www.wantgoo.com/stock/2454
TW,2379,2379.TW,瑞昱,TW,TWD,ASIC design / IP服務,ASIC design / IP服務,邊緣 AI / 客製晶片,ASIC design / IP服務,ASIC design / IP服務,已獲利成長 / 專案型高波動,已獲利成長 / 專案型高波動,高,"Forward PE, PEG/implied CAGR, EV/EBITDA","Forward PE, PEG/implied CAGR, EV/EBITDA",Forward PE,Peer Relative Z,medium,partial_history,20,0.4,0.3,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,偏熱,TTM PE 18.8 / PB 5.3；隱含CAGR 8.0%，目前CAGR -4.4%。臺股頁保留 sealed-test 與 overfit 警示。,complete,537.0,276820000000,18.8,,,,5.3,0.0382,,,,0.048828,0.40528,https://www.wantgoo.com/stock/2379
TW,2330,2330.TW,台積電,TW,TWD,Foundry / 先進封裝,Foundry / 先進封裝,先進晶圓代工；CoWoS / SoIC；Foundry；Advanced packaging,Foundry / 先進封裝,Foundry / 先進封裝,成熟複利 + AI成長,成熟複利 + AI成長,中高,"EV/EBITDA, normalized PE, utilization/ROIC","EV/EBITDA, normalized PE, utilization/ROIC",Forward PE,Own History Percentile,low,low_sample_fallback,10,0.4,0.1,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 32.2 / PB 10.22；隱含CAGR 18.5%，目前CAGR 46.9%。臺股頁保留 sealed-test 與 overfit 警示。,complete,2135.0,55365890000000,32.2,,,,10.22,0.347233,,,,0.418605,0.40528,https://www.wantgoo.com/stock/2330
TW,2303,2303.TW,聯電,TW,TWD,Foundry / 先進封裝,Foundry / 先進封裝,先進晶圓代工；Foundry,Foundry / 先進封裝,Foundry / 先進封裝,成熟複利 + AI成長,成熟複利 + AI成長,中高,"EV/EBITDA, normalized PE, utilization/ROIC","EV/EBITDA, normalized PE, utilization/ROIC",Forward PE,Own History Percentile,low,low_sample_fallback,10,0.4,0.1,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 23.3 / PB 2.39；隱含CAGR 10.8%，目前CAGR -12.1%。臺股頁保留 sealed-test 與 overfit 警示。,complete,77.3,972320000000.000122,23.3,,,,2.39,0.0551,,,,0.685932,0.40528,https://www.wantgoo.com/stock/2303
TW,3711,3711.TW,日月光投控,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,CoWoS / SoIC；OSAT / advanced packaging；Advanced packaging,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,已獲利成長 + 資本密集,中高,"EV/EBITDA, normalized PE, utilization/ROIC","EV/EBITDA, normalized PE, utilization/ROIC",PEG/implied CAGR,Forward PE,medium,partial_history,35,0.542857,0.428571,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 52.4 / PB 6.08；隱含CAGR 38.3%，目前CAGR 24.2%。臺股頁保留 sealed-test 與 overfit 警示。,complete,478.0,2132259999999.999756,52.4,,,,6.08,0.1725,,,,1.124444,0.40528,https://www.wantgoo.com/stock/3711
TW,6239,6239.TW,力成,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,OSAT / advanced packaging,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,已獲利成長 + 資本密集,中高,"EV/EBITDA, normalized PE, utilization/ROIC","EV/EBITDA, normalized PE, utilization/ROIC",PEG/implied CAGR,Forward PE,medium,partial_history,35,0.542857,0.428571,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 27.8 / PB 2.74；隱含CAGR 21.3%，目前CAGR -18.4%。臺股頁保留 sealed-test 與 overfit 警示。,complete,203.0,154100000000,27.8,,,,2.74,0.376067,,,,0.146893,0.40528,https://www.wantgoo.com/stock/6239
TW,2449,2449.TW,京元電子,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,晶片測試服務；Wafer probe / specialty test；Test,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,已獲利成長 + 資本密集,中高,"EV/EBITDA, normalized PE, utilization/ROIC","EV/EBITDA, normalized PE, utilization/ROIC",PEG/implied CAGR,Forward PE,medium,partial_history,35,0.542857,0.428571,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 33.6 / PB 7.33；隱含CAGR 26.2%，目前CAGR 41.6%。臺股頁保留 sealed-test 與 overfit 警示。,complete,302.5,369870000000,33.6,,,,7.33,0.394567,,,,0.490148,0.40528,https://www.wantgoo.com/stock/2449
TW,6257,6257.TW,矽格,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,晶片測試服務；Test,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,已獲利成長 + 資本密集,中高,"EV/EBITDA, normalized PE, utilization/ROIC","EV/EBITDA, normalized PE, utilization/ROIC",PEG/implied CAGR,Forward PE,medium,partial_history,35,0.542857,0.428571,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 29.5 / PB 4.0；隱含CAGR 22.8%，目前CAGR 6.9%。臺股頁保留 sealed-test 與 overfit 警示。,complete,180.0,87100000000,29.5,,,,4.0,0.1289,,,,0.846154,0.40528,https://www.wantgoo.com/stock/6257
