region,ticker,display_ticker,company,exchange,currency,category,industry_model_class,stage,revenue_purity,role
TW,3661,3661.TW,世芯-KY,TW,TWD,ASIC design / IP服務,ASIC design / IP服務,已獲利成長 / 專案型高波動,高,AI ASIC turnkey；ASIC design
TW,3443,3443.TW,創意,TW,TWD,ASIC design / IP服務,ASIC design / IP服務,已獲利成長 / 專案型高波動,高,AI ASIC turnkey；ASIC design
TW,2454,2454.TW,聯發科,TW,TWD,ASIC design / IP服務,ASIC design / IP服務,已獲利成長 / 專案型高波動,高,邊緣 AI / 客製晶片
TW,2379,2379.TW,瑞昱,TW,TWD,ASIC design / IP服務,ASIC design / IP服務,已獲利成長 / 專案型高波動,高,邊緣 AI / 客製晶片
TW,2330,2330.TW,台積電,TW,TWD,Foundry / 先進封裝,Foundry / 先進封裝,成熟複利 + AI成長,中高,先進晶圓代工；CoWoS / SoIC；Foundry；Advanced packaging
TW,2303,2303.TW,聯電,TW,TWD,Foundry / 先進封裝,Foundry / 先進封裝,成熟複利 + AI成長,中高,先進晶圓代工；Foundry
TW,3711,3711.TW,日月光投控,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,中高,CoWoS / SoIC；OSAT / advanced packaging；Advanced packaging
TW,6239,6239.TW,力成,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,中高,OSAT / advanced packaging
TW,2449,2449.TW,京元電子,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,中高,晶片測試服務；Wafer probe / specialty test；Test
TW,6257,6257.TW,矽格,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,中高,晶片測試服務；Test
TW,3264,3264.TW,欣銓,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,中高,Wafer probe / specialty test
TW,2360,2360.TW,致茂,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,中高,測試設備 / 介面；Test interface
TW,6223,6223.TW,旺矽,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,中高,測試設備 / 介面；Test interface
TW,3037,3037.TW,欣興,TW,TWD,PCB / CCL / 載板材料,PCB / CCL / 載板材料,景氣循環 + AI規格升級,中高,ABF 載板；ABF substrate
TW,8046,8046.TW,南電,TW,TWD,PCB / CCL / 載板材料,PCB / CCL / 載板材料,景氣循環 + AI規格升級,中高,ABF 載板；ABF substrate
TW,3189,3189.TW,景碩,TW,TWD,PCB / CCL / 載板材料,PCB / CCL / 載板材料,景氣循環 + AI規格升級,中高,IC 載板第二梯隊
TW,4958,4958.TW,臻鼎-KY,TW,TWD,PCB / CCL / 載板材料,PCB / CCL / 載板材料,景氣循環 + AI規格升級,中高,IC 載板第二梯隊
TW,2368,2368.TW,金像電,TW,TWD,PCB / CCL / 載板材料,PCB / CCL / 載板材料,景氣循環 + AI規格升級,高,AI server PCB
