region,signal_date,future_date,ticker,display_ticker,company,industry_model_class,lifecycle_stage,label,close,future_close,future_return,peer_return,benchmark_return,ttm_pe,forward_pe,ev_to_ebitda,ps,pb,implied_cagr,current_cagr,revenue_growth,data_status,note
US,2026-06-01,,AMZN,AMZN,Amazon,軟體 / IP / 平台型,成熟複利,合理反映,270.64,,,,,31.653803,27.443575,19.272,3.9194918,6.586037,,,0.166,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,MSFT,MSFT,Microsoft,軟體 / IP / 平台型,成熟複利,合理反映,450.24,,,,,26.81596,23.28298,18.388,10.508521,8.0721445,,,0.183,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,GOOGL,GOOGL,Alphabet,軟體 / IP / 平台型,成熟複利,合理反映,380.34,,,,,28.989328,26.249208,28.374,10.906531,9.625449,,,0.218,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,META,META,Meta,軟體 / IP / 平台型,已獲利成長,合理反映,632.51,,,,,22.992002,17.490955,14.74,7.469091,6.587754,,,0.331,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,ORCL,ORCL,Oracle,軟體 / IP / 平台型,成熟複利,合理反映,225.78,,,,,40.462364,28.108276,28.348,10.134117,19.353676,,,0.217,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,IBM,IBM,IBM,軟體 / IP / 平台型,成熟複利,合理反映,297.8,,,,,26.377323,22.133545,20.348,4.0617294,8.488441,,,0.095,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,CRWV,CRWV,CoreWeave,軟體 / IP / 平台型,轉機 / 虧轉盈,偏熱,109.53,,,,,,-174.68343,30.634,9.596327,12.24483,,,1.116,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,NBIS,NBIS,Nebius,軟體 / IP / 平台型,已獲利成長,過熱,231.09,,,,,89.22394,639.7486,-1538.899,66.833725,8.173522,,,6.839,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,APLD,APLD,Applied Digital,軟體 / IP / 平台型,轉機 / 虧轉盈,極度過熱 / priced for perfection,47.28,,,,,,-49.76842,1121.499,42.320045,8.532756,,,1.393,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,EQIX,EQIX,Equinix,軟體 / IP / 平台型,成熟複利,過熱,1068.04,,,,,74.066574,55.559574,29.736,11.057595,7.367013,,,0.121,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,DLR,DLR,Digital Realty,軟體 / IP / 平台型,成熟複利,過熱,190.0,,,,,50.531914,66.33754,29.95,10.763748,2.928619,,,0.167,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,CORZ,CORZ,Core Scientific,軟體 / IP / 平台型,已獲利成長,過熱,26.85,,,,,,85.2381,-100.123,24.06063,-6.5169907,,,0.449,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,IREN,IREN,IREN,軟體 / IP / 平台型,轉機 / 虧轉盈,極度過熱 / priced for perfection,63.54,,,,,82.519485,-67.59575,166.192,29.994219,8.394769,,,-0.0,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,WULF,WULF,TeraWulf,軟體 / IP / 平台型,成熟複利,極度過熱 / priced for perfection,25.56,,,,,,138.16216,-106.043,75.36394,76.52695,,,-0.011,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,CIFR,CIFR,Cipher Mining,軟體 / IP / 平台型,成熟複利,極度過熱 / priced for perfection,23.65,,,,,,35.298508,82.808,46.10603,13.422248,,,-0.288,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,NVDA,NVDA,NVIDIA,半導體設備 / 高毛利瓶頸股,已獲利成長,合理反映,211.14,,,,,32.383434,16.681019,30.627,20.174374,32.623608,,,0.852,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,AMD,AMD,AMD,半導體設備 / 高毛利瓶頸股,已獲利成長,過熱,516.1,,,,,172.60869,39.82394,112.123,22.468971,13.050294,,,0.378,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,AVGO,AVGO,Broadcom,半導體設備 / 高毛利瓶頸股,已獲利成長,合理反映,446.77,,,,,86.920235,24.227072,58.23,30.978994,26.490957,,,0.295,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,MRVL,MRVL,Marvell,半導體設備 / 高毛利瓶頸股,已獲利成長,偏熱,205.0,,,,,70.44673,33.7438,66.655,20.572668,12.139516,,,0.276,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,INTC,INTC,Intel,半導體設備 / 高毛利瓶頸股,轉機 / 虧轉盈,過熱,114.68,,,,,,74.48107,42.488,10.720787,5.171123,,,0.072,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,ARM,ARM,Arm,半導體設備 / 高毛利瓶頸股,成熟複利,過熱,353.29,,,,,415.63528,115.63715,351.49,76.69544,45.369205,,,0.201,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,QCOM,QCOM,Qualcomm,半導體設備 / 高毛利瓶頸股,成熟複利,合理反映,251.02,,,,,27.020452,23.6006,20.774,5.9473786,9.745322,,,-0.035,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,ALAB,ALAB,Astera Labs,半導體設備 / 高毛利瓶頸股,已獲利成長,過熱,342.85,,,,,233.2313,81.50114,246.908,58.682476,39.308643,,,0.934,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,MPWR,MPWR,Monolithic Power,半導體設備 / 高毛利瓶頸股,已獲利成長,過熱,1566.21,,,,,112.35366,51.932003,88.195,26.021494,20.924091,,,0.261,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
US,2026-06-01,,ADI,ADI,Analog Devices,半導體設備 / 高毛利瓶頸股,已獲利成長,合理反映,413.85,,,,,61.768658,28.013319,33.638,15.822442,5.974189,,,0.372,coverage_gap,美股目前只有 current screen；尚未建立 point-in-time 月度 fundamental snapshots。
