region,ticker,display_ticker,company,exchange,currency,category,supply_chain_category,role,industry_class,industry_model_class,stage,lifecycle_stage,revenue_purity,valuation_models,valuation_basis,valuation_label,model_read,data_status,price,marketCap,trailingPE,forwardPE,evToEbitda,ps,pb,revenueGrowth,grossMargins,ebitdaMargins,profitMargins,six_month_return,benchmark_return,source_url
US,AMZN,AMZN,Amazon,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,AWS，最大雲端算力需求端之一,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",合理反映,大型平台估值未單靠 AI 題材脫離基本面,complete,270.64,2911304417280.0,31.653803,27.443575,19.272,3.9194918,6.586037,0.166,0.50604,0.20984,0.12224,,,https://finance.yahoo.com/quote/AMZN
US,MSFT,MSFT,Microsoft,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,Azure，OpenAI / enterprise AI 需求核心,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",合理反映,大型平台估值未單靠 AI 題材脫離基本面,complete,450.24,3344578379776.0,26.81596,23.28298,18.388,10.508521,8.0721445,0.183,0.68309,0.57956004,0.39341998,,,https://finance.yahoo.com/quote/MSFT
US,GOOGL,GOOGL,Alphabet,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,Google Cloud / TPU / AI infrastructure,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",合理反映,大型平台估值未單靠 AI 題材脫離基本面,complete,380.34,4607987679232.0,28.989328,26.249208,28.374,10.906531,9.625449,0.218,0.60368,0.38181,0.37919,,,https://finance.yahoo.com/quote/GOOGL
US,META,META,Meta,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,大型自用 AI cluster 與 Llama 生態,軟體 / IP / 平台型,軟體 / IP / 平台型,已獲利成長,已獲利成長,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",合理反映,大型平台估值未單靠 AI 題材脫離基本面,complete,632.51,1605578129408.0,22.992002,17.490955,14.74,7.469091,6.587754,0.331,0.81941,0.5085,0.32837,,,https://finance.yahoo.com/quote/META
US,ORCL,ORCL,Oracle,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,OCI，GPU cloud 與 enterprise AI infrastructure,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",合理反映,大型平台估值未單靠 AI 題材脫離基本面,complete,225.78,649353691136.0,40.462364,28.108276,28.348,10.134117,19.353676,0.217,0.67084,0.42826,0.25298,,,https://finance.yahoo.com/quote/ORCL
US,IBM,IBM,IBM,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,Enterprise AI、hybrid cloud,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",合理反映,大型平台估值未單靠 AI 題材脫離基本面,complete,297.8,279897833472.0,26.377323,22.133545,20.348,4.0617294,8.488441,0.095,0.58358,0.24104999,0.15606,,,https://finance.yahoo.com/quote/IBM
US,CRWV,CRWV,CoreWeave,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,GPU cloud / AI compute pure play,軟體 / IP / 平台型,軟體 / IP / 平台型,轉機 / 虧轉盈,轉機 / 虧轉盈,高,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",偏熱,虧損但營收倍數已不低，需要毛利與現金流改善,complete,109.53,59756322816.0,,-174.68343,30.634,9.596327,12.24483,1.116,0.69375,0.48563,-0.25566,,,https://finance.yahoo.com/quote/CRWV
US,NBIS,NBIS,Nebius,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,AI infrastructure / GPU cloud,軟體 / IP / 平台型,軟體 / IP / 平台型,已獲利成長,已獲利成長,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",過熱,平台型公司 PE > 55x，需要 AI monetization 明確加速,complete,231.09,58673332224.0,89.22394,639.7486,-1538.899,66.833725,8.173522,6.839,0.72058,-0.04397,0.93086,,,https://finance.yahoo.com/quote/NBIS
US,APLD,APLD,Applied Digital,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,AI data center / HPC infrastructure,軟體 / IP / 平台型,軟體 / IP / 平台型,轉機 / 虧轉盈,轉機 / 虧轉盈,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",極度過熱 / priced for perfection,虧損且 PS > 20x，需要高成長與快速轉盈同時成立,complete,47.28,13511183360.0,,-49.76842,1121.499,42.320045,8.532756,1.393,0.45409,0.04355,-0.59472,,,https://finance.yahoo.com/quote/APLD
US,EQIX,EQIX,Equinix,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,Colocation / interconnection data center,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",過熱,平台型公司 PE > 55x，需要 AI monetization 明確加速,complete,1068.04,105334644736.0,74.066574,55.559574,29.736,11.057595,7.367013,0.121,0.51606,0.44951,0.14928001,,,https://finance.yahoo.com/quote/EQIX
